S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12643.0,SRINAGAR RTO,JK01E7110,30-Mar-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,14-Feb-87,15-Feb-21,14-Feb-24,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Rawalpora,Barzulla,,2000-2001,1986-1987,DIESEL,,
12645.0,SRINAGAR RTO,JK01E7335,12-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-Jun-00,06-Jun-19,05-Jun-20,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Rawalpora,Barzulla,Express Service,2001-2002,2000-2001,DIESEL,,
12648.0,SRINAGAR RTO,JK01E7523,21-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-May-85,16-May-21,15-May-26,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,90feet,Ordinary Service,2001-2002,1985-1986,DIESEL,,
12649.0,SRINAGAR RTO,JK01E7850,05-May-01,HPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-May-01,15-May-18,15-May-19,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Qamarwari,Mill Stop,Express Service,2001-2002,2001-2002,DIESEL,,
12652.0,SRINAGAR RTO,JK01E7979,17-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,30-Apr-01,30-Apr-18,29-Apr-19,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,SMHS,Jehangir Chowk,Express Service,2001-2002,2001-2002,DIESEL,,
12653.0,SRINAGAR RTO,JK01E8021,14-May-01,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,23-May-00,23-May-21,22-May-22,WESTERN AREA OF SRINAGAR CITY,,Narbal,Jehangir Chowk,Qamarwari,Express Service,2001-2002,2000-2001,DIESEL,,
12654.0,SRINAGAR RTO,JK01E8095,17-May-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-May-00,26-May-19,25-May-20,WESTERN AREA OF SRINAGAR CITY,,Soura,SMHS,Jehangir Chowk,Express Service,2001-2002,2000-2001,DIESEL,,
12655.0,SRINAGAR RTO,JK01E8393,01-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Aug-01,04-Aug-19,03-Aug-20,WESTERN AREA OF SRINAGAR CITY,,Soura,SMHS,Jehangir Chowk,Express Service,2001-2002,2001-2002,DIESEL,,
12656.0,SRINAGAR RTO,JK01E8692,15-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-Aug-01,11-Aug-23,10-Aug-28,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Hawal,Express Service,2001-2002,2001-2002,DIESEL,,
12657.0,SRINAGAR RTO,JK01E8724,16-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Jul-97,09-Jul-18,08-Jul-19,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Saidakadal,Dalgate,Express Service,2001-2002,1997-1998,DIESEL,,
