S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
1126,BUDGAM ARTO,JK04A0310,09-Oct-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Jan-04,09-Jan-20,09-Jan-23,,NA,Budgam ,Narbal ,Wadwan,Ordinary Service,2004-2005,2003-2004,DIESEL,NA
1127,BUDGAM ARTO,JK04A0392,18-Oct-04,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,28-Oct-04,25-Oct-22,24-Oct-24,,NA,Budgam ,Arezal,,Ordinary Service,2004-2005,2004-2005,DIESEL,
1128,BUDGAM ARTO,JK04A0425,28-Oct-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Dec-04,29-Dec-19,28-Dec-23,,NA,WESTERN AREA OF SRINGAR CITY,WESTERN AREA OF SRINAGAR CITY,"SRINGAR , BUDGAM",Ordinary Service,2004-2005,2004-2005,DIESEL,P
1129,BUDGAM ARTO,JK04A0511,30-Oct-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Feb-05,23-Feb-24,22-Feb-29,Within District,NA,,,NA,,2004-2005,2004-2005,DIESEL,PASSENGER ONLY
1130,BUDGAM ARTO,JK04A0571,05-Nov-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jan-05,13-Jan-15,13-Jan-20,With in Budgam MC Limits,NA,Budgam ,Dad ompora Surusiyar,Chadoora,Ordinary Service,2004-2005,2004-2005,DIESEL,NON HAZARDIOUS
1131,BUDGAM ARTO,JK04A0917,04-Jan-05,MPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Feb-05,08-Feb-20,07-Feb-25,Within 15 Kms of District,NA,,,NA,,2004-2005,2004-2005,DIESEL,
1132,BUDGAM ARTO,JK04A0961,13-Jan-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Feb-04,22-Feb-23,21-Feb-28,,NA,BUDGAM,BRAIL,SHOLIPORA,Ordinary Service,2004-2005,2003-2004,DIESEL,NA
1133,BUDGAM ARTO,JK04A1194,24-Mar-05,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Jun-05,09-Jun-20,08-Jun-21,,NA,Budgam , Magam,Beerwah,Ordinary Service,2004-2005,2005-2006,DIESEL,
1134,BUDGAM ARTO,JK04A1359,25-Apr-05,MPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Jun-05,30-Jun-19,29-Jun-20,Within District,NA,,,NA,NA,2005-2006,2005-2006,DIESEL,PASSENGERS ONLY
1135,BUDGAM ARTO,JK04A1392,30-Apr-05,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,25-May-05,25-May-19,24-May-20,,NA,Magam ,Budgam vai ,Soibugh,Ordinary Service,2005-2006,2005-2006,DIESEL,
1136,BUDGAM ARTO,JK04A1655,02-Jun-05,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),07-Dec-05,07-Dec-22,06-Dec-27,WESTERN ARWA OF KASHMIR PROVINCE,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,
1137,BUDGAM ARTO,JK04A1760,21-Jun-05,LPV,Commercial,Omni Bus,Stage Carriage Permit,MEDIUM BUSES,30-Jun-06,30-Jun-20,29-Jun-23,Inter District,NA,,,NA,Ordinary Service,2005-2006,2006-2007,DIESEL,CHILDRENS ONLY
1138,BUDGAM ARTO,JK04A1808,25-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Jul-05,25-Jul-19,25-Jul-20,,NA,Magam ,Budgam vai ,Soibugh,Ordinary Service,2005-2006,2005-2006,DIESEL,
1139,BUDGAM ARTO,JK04A2655,05-Oct-05,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),19-Apr-08,19-Apr-23,18-Apr-28,WESTERN ARWA OF KASHMIR PROVINCE,NA,,,NA,Ordinary Service,2005-2006,2008-2009,DIESEL,NON HAZARDOUS::OTHER::ONLY
1140,BUDGAM ARTO,JK04A4959,21-Sep-06,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,30-Mar-99,29-Mar-20,29-Mar-21,WESTERN AREA SGR,NA,,,NA,Ordinary Service,2006-2007,1998-1999,DIESEL,NA
1141,BUDGAM ARTO,JK04A6059,10-Apr-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Jun-06,07-Jun-19,06-Jun-21,,NA,Budgam ,Chadoora ,Ichgam,Ordinary Service,2007-2008,2006-2007,DIESEL,
1142,BUDGAM ARTO,JK04A6524,11-Jun-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Sep-07,01-Sep-17,31-Aug-18,Inter District,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1143,BUDGAM ARTO,JK04A6929,31-Jul-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Sep-07,26-Sep-17,25-Sep-18,,NA,Budgam , Khan Sahib ,Ichgam,Ordinary Service,2007-2008,2007-2008,DIESEL,
1144,BUDGAM ARTO,JK04A7148,05-Sep-07,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Oct-07,30-Sep-18,30-Sep-19,Inter District,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1145,BUDGAM ARTO,JK04A7435,01-Nov-07,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Nov-07,07-Nov-15,07-Nov-16,,NA,Chadoora ,Wathkolo vai ,Huproo,Ordinary Service,2007-2008,2007-2008,DIESEL,
1146,BUDGAM ARTO,JK04A7687,04-Jan-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Mar-08,27-Mar-21,26-Mar-23,With in Budgam MC Limits,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1147,BUDGAM ARTO,JK04A7880,07-Mar-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,18-Mar-08,18-Mar-20,17-Mar-21,,NA,DC OFFICE BUDGAM,SRINAGAR,HUMHAMA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1148,BUDGAM ARTO,JK04A7905,11-Mar-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Mar-08,15-Mar-20,14-Mar-22,Within District,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1149,BUDGAM ARTO,JK04A7962,25-Mar-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Apr-08,25-Apr-18,24-Apr-20,Within District,NA,,,NA,Ordinary Service,2007-2008,2008-2009,DIESEL,
1150,BUDGAM ARTO,JK04A8058,17-Apr-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Apr-08,26-Apr-14,25-Apr-15,,NA,,,NA,Ordinary Service,2008-2009,2008-2009,DIESEL,
1151,BUDGAM ARTO,JK04B0190,22-Jul-09,LPV,Commercial,Private Service Vehicle,Stage Carriage Permit,MEDIUM BUSES,06-Jul-12,06-Jul-14,05-Jul-15,,NA,,,NA,Ordinary Service,2009-2010,2012-2013,DIESEL,
1152,BUDGAM ARTO,JK04B1677,03-Apr-10,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,30-Apr-10,29-Apr-19,28-Apr-20,Inter District,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
1153,BUDGAM ARTO,JK04B2635,21-Oct-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Nov-10,08-Nov-21,07-Nov-23,,NA,BUDGAM,WADWAN,,Ordinary Service,2010-2011,2010-2011,DIESEL,
1154,BUDGAM ARTO,JK04B5390,03-Aug-11,LPV,Commercial,Private Service Vehicle,Stage Carriage Permit,BIG BUSES(HTV),06-Feb-13,06-Feb-15,05-Feb-17,Inter District,NA,,,NA,Ordinary Service,2011-2012,2012-2013,DIESEL,
1155,BUDGAM ARTO,JK04B5391,03-Aug-11,LPV,Commercial,Private Service Vehicle,Stage Carriage Permit,MEDIUM BUSES,06-Feb-13,06-Feb-20,05-Feb-25,Inter District,NA,,,NA,,2011-2012,2012-2013,DIESEL,
1156,BUDGAM ARTO,JK04C0312,17-Jan-13,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-Jan-13,22-Jan-25,21-Jan-30,Within District,NA,,,NA,,2012-2013,2012-2013,DIESEL,
1157,BUDGAM ARTO,JK04C4737,17-Apr-14,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Aug-14,06-Aug-19,05-Aug-20,,NA,BUDGAM,CHARARSHAREEF  AND PAKHERPORA,CHADOORA,Ordinary Service,2014-2015,2014-2015,DIESEL,
1158,BUDGAM ARTO,JK04C5178,04-Jun-14,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Jul-14,23-Jul-17,22-Jul-18,Within District,NA,,,NA,Ordinary Service,2014-2015,2014-2015,DIESEL,
1159,BUDGAM ARTO,JK04H2292,19-Nov-22,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-May-24,30-May-24,29-May-29,With in Magam MC Limits,NA,,,NA,NA,2022-2023,2024-2025,DIESEL,
1160,BUDGAM ARTO,JK04J1571,30-Apr-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Aug-24,20-Aug-24,19-Aug-29,With in Magam MC Limits,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
1161,BUDGAM ARTO,JK04J1597,30-Apr-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Aug-24,16-Aug-24,15-Aug-29,With in Magam MC Limits,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
1162,BUDGAM ARTO,JK04J6204,02-Dec-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Feb-25,23-Feb-25,22-Feb-30,Within District,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
1163,BUDGAM ARTO,JK04J7952,13-Mar-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Dec-25,17-Dec-25,16-Dec-30,Within District,NA,Magam ,Poshkar,Khag,NA,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
1164,BUDGAM ARTO,JK04J9293,19-May-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Jun-25,21-Jun-25,20-Jun-30,,NA,BUDGAM,KHANSHIAB,ICHIGAM,Ordinary Service,2025-2026,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
1165,DODA ARTO,JK02AA8781,14-Oct-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Dec-09,08-Dec-23,07-Dec-28,,NA,Pul Doda ,Gathimorhe,Sartingal,,2005-2006,2009-2010,DIESEL,
1166,DODA ARTO,JK02AJ7515,07-Mar-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Jul-07,20-Jul-22,19-Jul-23,,NA,BHADERWAH,DODA,Pasri,Ordinary Service,2008-2009,2007-2008,DIESEL,NON HAZARDOUS::OTHER::ONLY
1167,DODA ARTO,JK02H0856,22-Aug-97,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Apr-01,01-Apr-16,31-Mar-17,,NA,CHILHOTRAN,BHAGWA ,VICE VERSA,Ordinary Service,1997-1998,2001-2002,DIESEL,
1168,DODA ARTO,JK02H9282,13-Mar-98,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Feb-98,01-Apr-20,31-Mar-21,,NA,DODA,THATHRI,Bhella,Ordinary Service,1997-1998,1997-1998,DIESEL,
1169,DODA ARTO,JK02J3847,30-Jun-98,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Sep-04,28-Sep-16,27-Sep-17,,NA,Pul Doda ,Bhupa lal,V.Versa,Ordinary Service,1998-1999,2004-2005,DIESEL,
1170,DODA ARTO,JK02L6027,20-Oct-99,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Nov-05,30-Nov-22,29-Nov-23,,NA,BHADERWAH,PULDODA,GATHI MORH,Ordinary Service,1999-2000,2005-2006,DIESEL,
1171,DODA ARTO,JK02N8390,12-Feb-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-99,01-Apr-18,31-Mar-19,,NA,DODA,BHADERWAH,V.Versa,Ordinary Service,1999-2000,1999-2000,DIESEL,
1172,DODA ARTO,JK02Q4619,28-Nov-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Oct-02,16-Oct-19,15-Oct-24,,NA,BATOTE  ,JATHI ,VIA  RAMGARH,Ordinary Service,2001-2002,2002-2003,DIESEL,NON HAZARDOUS::OTHER::ONLY
1173,DODA ARTO,JK02Q6808,18-Jan-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Oct-03,29-Oct-15,28-Oct-16,,NA,,,NA,Ordinary Service,2001-2002,2003-2004,DIESEL,
1174,DODA ARTO,JK02Q7157,25-Jan-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Feb-02,13-Feb-23,12-Feb-28,,NA,BHADERWAH,BHABORE,Doda,NA,2001-2002,2001-2002,DIESEL,
1175,DODA ARTO,JK02S0289,28-Sep-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Dec-02,21-Dec-18,20-Dec-19,,NA,Bhagwah ,THATHRI,V.Versa,Ordinary Service,2002-2003,2002-2003,DIESEL,
1176,DODA ARTO,JK02S3290,05-Nov-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Sep-02,21-Sep-16,20-Sep-17,,NA,DODA,BHADERWAH,MALHOTI EXTD TO SARTINGLE,Ordinary Service,2002-2003,2002-2003,DIESEL,
1177,DODA ARTO,JK02T0667,26-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Dec-00,01-Apr-21,31-Mar-22,,NA,DODA,THATHRI,Pul Doda,NA,2002-2003,2000-2001,DIESEL,NON HAZARDOUS::OTHER::MINI BUS
1178,DODA ARTO,JK02T1231,04-Apr-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Apr-03,01-Apr-20,31-Mar-22,,NA,Bimna,Bhalla,Dessa Chowk Doda,Ordinary Service,2003-2004,2003-2004,DIESEL,
1179,DODA ARTO,JK02U8805,07-Jan-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Feb-22,20-Feb-23,19-Feb-28,,NA,DODA,CHINTA,Bhaderwah,Ordinary Service,2003-2004,2021-2022,DIESEL,
1180,DODA ARTO,JK02U8951,15-Jan-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Feb-04,21-Feb-20,20-Feb-22,,NA,Doda ,BHADERWAH,Bhalla,Ordinary Service,2003-2004,2003-2004,DIESEL,
1181,DODA ARTO,JK060325,07-Jul-99,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jul-99,01-Apr-18,31-Mar-19,,NA,Ramban ,Batote,V.Versa,Ordinary Service,1999-2000,1999-2000,DIESEL,
1182,DODA ARTO,JK060383,08-Oct-99,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Apr-99,01-Apr-23,31-Mar-28,,NA,Ramban ,Batote,V.Versa,Ordinary Service,1999-2000,1999-2000,DIESEL,NON HAZARDOUS::OTHER::ONLY
1183,DODA ARTO,JK060437,29-Apr-00,LPV,Commercial,Bus,Stage Carriage Permit,,06-May-00,01-Apr-12,31-Mar-13,,NA,,,NA,Ordinary Service,2000-2001,2000-2001,DIESEL,
1184,DODA ARTO,JK060493,03-Oct-00,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,01-Apr-01,31-Mar-19,31-Mar-22,,NA,Ramban ,Batote,V.Versa,Ordinary Service,2000-2001,2001-2002,DIESEL,
1185,DODA ARTO,JK060502,07-Nov-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Nov-00,01-Apr-20,31-Mar-25,,NA,Ramban ,Batote,V.Versa,Ordinary Service,2000-2001,2000-2001,DIESEL,
1186,DODA ARTO,JK060510,27-Nov-00,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Nov-10,01-Apr-20,31-Mar-23,,NA,Ramban ,Batote,V.Versa,Ordinary Service,2000-2001,2010-2011,DIESEL,
1187,DODA ARTO,JK060521,03-Jan-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Jan-01,01-Apr-16,31-Mar-17,,NA,DODA,KAHARA,V.Versa,Ordinary Service,2000-2001,2000-2001,DIESEL,
1188,DODA ARTO,JK060545,03-Mar-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Dec-01,03-Dec-17,02-Dec-18,,NA,BATOTE,KORRAPAIN,ASSAR,Ordinary Service,2000-2001,2001-2002,DIESEL,
1189,DODA ARTO,JK060590,14-Jul-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jul-01,01-Apr-18,31-Mar-19,,NA,BASWAL ,DHARA,Doda,Ordinary Service,2001-2002,2001-2002,DIESEL,
1190,DODA ARTO,JK060603,18-Aug-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Mar-01,30-Mar-17,31-Mar-18,,NA,BATOTE ,DHARAMKUND,RAMBAN,Ordinary Service,2001-2002,2000-2001,DIESEL,
1191,DODA ARTO,JK060613,06-Sep-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Sep-01,01-Apr-20,31-Mar-23,,NA,BHELLA,CHINTA,Bheja,Ordinary Service,2001-2002,2001-2002,DIESEL,
1192,DODA ARTO,JK060614,06-Sep-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Apr-01,01-Apr-23,31-Mar-28,,NA,BHALLA,SARTINGAL,Seri,Ordinary Service,2001-2002,2001-2002,DIESEL,NON HAZARDOUS::OTHER::ONLY
1193,DODA ARTO,JK060658,03-Dec-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Dec-00,03-Dec-15,02-Dec-16,,NA,,,NA,Ordinary Service,2001-2002,2000-2001,DIESEL,
1194,DODA ARTO,JK060660,15-Dec-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-01,15-Dec-17,14-Dec-18,,NA,Prem Nagar,Jodhpur,Doda,Ordinary Service,2001-2002,2001-2002,DIESEL,
1195,DODA ARTO,JK060690,28-Jan-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Jan-02,30-Jan-19,29-Jan-20,,NA,Jangalwar ,KISHTWAR,V.Versa,Ordinary Service,2001-2002,2001-2002,DIESEL,
1196,DODA ARTO,JK060744,02-Jul-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jul-06,02-Jul-23,01-Jul-28,,NA,SARTINGAL,DODA CITY,Pul Doda,Ordinary Service,2002-2003,2006-2007,DIESEL,NON HAZARDOUS::OTHER::MINI BUS
1197,DODA ARTO,JK060764,29-Sep-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Aug-02,24-Aug-17,23-Aug-18,,NA,DODA,BHADERWAH,Shiva,Ordinary Service,2002-2003,2002-2003,DIESEL,
1198,DODA ARTO,JK060780,09-Oct-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Oct-02,23-Aug-18,22-Aug-19,,NA,Thathri ,Kishtwar,V.Versa,Ordinary Service,2002-2003,2002-2003,DIESEL,
1199,DODA ARTO,JK060787,18-Oct-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Oct-02,26-Oct-16,10-Oct-17,,NA,BHADERWAH,GHAT,V.Versa,Ordinary Service,2002-2003,2002-2003,DIESEL,
1200,DODA ARTO,JK060826,01-Jan-03,LPV,Commercial,Bus,Stage Carriage Permit,,22-Jan-03,22-Jan-15,21-Jan-16,,NA,DODA,SARTINGAL,BEJA,Ordinary Service,2002-2003,2002-2003,DIESEL,
1201,DODA ARTO,JK060846,04-Apr-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Apr-03,05-Apr-20,04-Apr-21,,NA,DODA,KAHARA,V.Versa,NA,2003-2004,2003-2004,DIESEL,
1202,DODA ARTO,JK060847,16-Apr-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-May-03,09-May-22,08-May-23,,NA,DODA,BHADERWAH,Suhanda,Ordinary Service,2003-2004,2003-2004,DIESEL,NON HAZARDOUS::OTHER::ONLY
1203,DODA ARTO,JK060849,08-Apr-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Apr-03,09-Apr-18,08-Apr-19,,NA,Ramban ,Batote,V.Versa,Ordinary Service,2003-2004,2003-2004,DIESEL,
1204,DODA ARTO,JK060852,13-Apr-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-07,03-May-16,02-May-17,,NA,PONDA ,THATRI,DODA,Ordinary Service,2003-2004,2007-2008,DIESEL,
1205,DODA ARTO,JK060855,09-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-May-03,12-May-20,11-May-22,,NA,PUL DODA,NALTHI,Bhaderwah,Ordinary Service,2003-2004,2003-2004,DIESEL,
1206,DODA ARTO,JK060858,21-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-03,26-Oct-23,25-Oct-28,,NA,Ramban ,Batote,V.Versa,,2003-2004,2003-2004,DIESEL,
1207,DODA ARTO,JK060869,11-Jun-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jun-03,11-Jun-17,10-Jun-18,,NA,BHALLA,CHINTA ,Bhaderwah,Ordinary Service,2003-2004,2003-2004,DIESEL,
1208,DODA ARTO,JK060885,05-Aug-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Aug-03,14-Aug-18,13-Aug-19,ALL J AND K ROUTES,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,
1209,DODA ARTO,JK060893,03-Sep-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Oct-03,22-Oct-19,21-Oct-20,,NA,Jangalwar ,KISHTWAR,V.Versa,NA,2003-2004,2003-2004,DIESEL,
1210,DODA ARTO,JK060902,19-Sep-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,22-Aug-03,22-Sep-18,21-Sep-19,,NA,Doda ,THATHRI,Bhella,Ordinary Service,2003-2004,2003-2004,DIESEL,
1211,DODA ARTO,JK060903,03-Mar-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Sep-03,02-Apr-18,01-Apr-19,,NA,Jangalwar,Doda,V.Versa,Ordinary Service,2002-2003,2003-2004,DIESEL,
1212,DODA ARTO,JK060920,14-Nov-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Nov-03,14-Nov-19,13-Nov-20,,NA,Ramban ,Baggar,V.Versa,Ordinary Service,2011-2012,2003-2004,DIESEL,
1213,DODA ARTO,JK060933,21-Oct-03,LPV,Commercial,Bus,Stage Carriage Permit,,17-Feb-03,17-Feb-16,16-Feb-17,,NA,,,NA,Ordinary Service,2003-2004,2002-2003,DIESEL,
1214,DODA ARTO,JK060934,06-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Feb-03,21-Feb-19,20-Feb-20,,NA,DODA,SARTINGAL,Chinta,Ordinary Service,2003-2004,2002-2003,DIESEL,
1215,DODA ARTO,JK060943,30-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Feb-01,28-Feb-18,27-Feb-19,,NA,DODA CITY,BHADERWAH,Malothi,Ordinary Service,2003-2004,2000-2001,DIESEL,
1216,DODA ARTO,JK060987,19-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Jul-04,31-Jul-15,01-Jun-16,,NA,DODA,CHINTA,Bhaderwah,Ordinary Service,2004-2005,2004-2005,DIESEL,
1217,DODA ARTO,JK061085,14-Oct-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-May-07,18-Oct-19,17-Oct-20,,NA,BHAGWAH,DODA,BIJARNI,Ordinary Service,2004-2005,2007-2008,DIESEL,
1218,DODA ARTO,JK061334,30-Sep-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Dec-05,26-Dec-17,25-Dec-18,,NA,Pul Doda ,Bagla,Chiletran,Ordinary Service,2005-2006,2005-2006,DIESEL,
1219,DODA ARTO,JK061340,29-Sep-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Oct-05,11-Oct-22,10-Oct-23,,NA,Trungal ,DODA CITY,V.Versa,NA,2005-2006,2005-2006,DIESEL,
1220,DODA ARTO,JK061406,14-Dec-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-05,15-Dec-18,14-Dec-19,,NA,Doda ,THATHRI,Bhella,Ordinary Service,2005-2006,2005-2006,DIESEL,
1221,DODA ARTO,JK061432,03-Feb-06,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Feb-09,03-Feb-16,02-Feb-17,,NA,Kahara,KISHTWAR,V.Versa,Ordinary Service,2005-2006,2008-2009,DIESEL,
1222,DODA ARTO,JK061536,30-Jun-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Jul-06,01-Jul-17,30-Jun-18,,NA,BHADERWAH ,DRUDU BHALLA,Doda,Ordinary Service,2006-2007,2006-2007,DIESEL,
