S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
14534,UDHAMPUR ARTO,JK14B6879,22-Dec-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Dec-10,23-Dec-16,22-Dec-17,,NA,UDHAMPUR NEW BUS STAND,KARADE VIA SKHADWAN,,Ordinary Service,2010-2011,2010-2011,DIESEL,
14535,UDHAMPUR ARTO,JK14B6880,22-Dec-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Dec-11,24-Dec-22,23-Dec-27,,NA,SAILAN TALAB UDHAMPUR,JIB THATHI SALARA,,Ordinary Service,2010-2011,2011-2012,DIESEL,
14536,UDHAMPUR ARTO,JK14B6945,30-Dec-10,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),04-Jan-11,04-Jan-23,03-Jan-28,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14537,UDHAMPUR ARTO,JK14B7027,12-Jan-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Jan-11,15-Jan-18,14-Jan-19,,NA,RAMNAGAR,THAGAN VIA SOLAN,,Ordinary Service,2010-2011,2010-2011,DIESEL,
14538,UDHAMPUR ARTO,JK14B7096,21-Jan-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Jan-11,28-Jan-18,27-Jan-19,,NA,MONGARI,PANCHARI,,Ordinary Service,2010-2011,2010-2011,DIESEL,
14539,UDHAMPUR ARTO,JK14B7154,28-Jan-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Apr-05,02-Apr-25,01-Apr-30,,NA,MANWAL,NAGROTA,,,2010-2011,2005-2006,DIESEL,
14540,UDHAMPUR ARTO,JK14B7183,28-Jan-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,03-Apr-99,01-Apr-25,31-Mar-30,,NA,ROUN DOMAIL,KERA,RAILWAY STATION KAWA UDH,Ordinary Service,2010-2011,1999-2000,DIESEL,
14541,UDHAMPUR ARTO,JK14B7192,29-Jan-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-Feb-11,03-Feb-16,02-Feb-17,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
14542,UDHAMPUR ARTO,JK14B7267,03-Feb-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),18-Apr-12,18-Apr-21,17-Apr-23,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2010-2011,2012-2013,DIESEL,
14543,UDHAMPUR ARTO,JK14B7276,05-Feb-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Mar-03,24-Mar-14,23-Mar-15,,NA,,,NA,Ordinary Service,2010-2011,2002-2003,DIESEL,
14544,UDHAMPUR ARTO,JK14B7285,05-Feb-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,27-Dec-00,01-Apr-22,31-Mar-23,,NA,NOWGAM,UKHRAL,VICE VERSA,Ordinary Service,2010-2011,2000-2001,DIESEL,
14545,UDHAMPUR ARTO,JK14B7309,08-Feb-11,3WT,Commercial,Three Wheeler (Passenger),Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Apr-11,19-Apr-16,18-Apr-17,,NA,,,NA,Ordinary Service,2010-2011,2011-2012,DIESEL,
14546,UDHAMPUR ARTO,JK14B7481,03-Mar-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),09-Mar-11,09-Mar-23,08-Mar-28,JAMMU BANIHAL AREA,NA,,,NA,,2010-2011,2010-2011,DIESEL,
14547,UDHAMPUR ARTO,JK14B7523,09-Mar-11,HPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Feb-03,14-Feb-16,13-Feb-20,,NA,BHANARAH,NAGROTA GUJROO,VICE VERCA,Ordinary Service,2010-2011,2002-2003,DIESEL,
14548,UDHAMPUR ARTO,JK14B7715,01-Apr-11,LPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),31-Mar-10,01-Apr-20,31-Mar-25,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2011-2012,2009-2010,DIESEL,
14549,UDHAMPUR ARTO,JK14B7831,19-Apr-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Jan-11,01-Jan-19,31-Dec-19,,NA,UDHAMPUR,CHENANI,,Ordinary Service,2011-2012,2010-2011,DIESEL,
14550,UDHAMPUR ARTO,JK14B7901,23-Apr-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,04-May-11,04-May-20,03-May-21,,NA,TOWN HALL,MEGHANI,,Ordinary Service,2011-2012,2011-2012,DIESEL,
14551,UDHAMPUR ARTO,JK14B7941,28-Apr-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Dec-01,01-Dec-15,30-Nov-16,,NA,,,NA,Ordinary Service,2011-2012,2001-2002,DIESEL,
14552,UDHAMPUR ARTO,JK14B7992,02-May-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-May-11,06-May-23,05-May-28,,NA,CHANUNTA,RAMNAGAR,KUH NALLAH,Ordinary Service,2011-2012,2011-2012,DIESEL,
14553,UDHAMPUR ARTO,JK14B8021,09-May-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-Jan-07,10-Jan-15,09-Jan-16,,NA,,,NA,Ordinary Service,2011-2012,2006-2007,DIESEL,
14554,UDHAMPUR ARTO,JK14B8129,21-May-11,3WT,Commercial,Three Wheeler (Passenger),Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jun-11,02-Jun-16,01-Jun-17,,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14555,UDHAMPUR ARTO,JK14B8274,03-Jun-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),12-Apr-17,12-Apr-18,11-Apr-19,JAMMU BANIHAL AREA,NA,,,NA,NA,2011-2012,2017-2018,DIESEL,
14556,UDHAMPUR ARTO,JK14B8435,20-Jun-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-97,01-Apr-16,31-Mar-17,,NA,UDHAMPUR,MANWAL,,Ordinary Service,2011-2012,1996-1997,DIESEL,
14557,UDHAMPUR ARTO,JK14B8649,12-Jul-11,LMV,Private,Motor Car,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Nov-02,28-Jan-15,27-Jan-16,,NA,,,NA,Ordinary Service,2011-2012,2002-2003,PETROL/LPG,
14558,UDHAMPUR ARTO,JK14B8687,16-Jul-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),04-Oct-11,04-Oct-22,03-Oct-25,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14559,UDHAMPUR ARTO,JK14B8799,22-Jul-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),25-Jul-11,25-Jul-24,24-Jul-29,JAMMU BANIHAL AREA STARTING FROM UDHAMPUR BUS STAND,NA,,,NA,,2011-2012,2011-2012,DIESEL,
14560,UDHAMPUR ARTO,JK14B8908,29-Jul-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-May-08,08-May-21,07-May-23,,NA,UDHAMPUR,BAROTA TRILLA,,Ordinary Service,2011-2012,2008-2009,DIESEL,
14561,UDHAMPUR ARTO,JK14B9492,04-Oct-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Mar-04,17-Mar-18,16-Mar-19,,NA,UDHAMPUR,BHUGTARIAN HANSA,CHANUNTA,Ordinary Service,2011-2012,2003-2004,DIESEL,
14562,UDHAMPUR ARTO,JK14B9591,14-Oct-11,HPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Oct-11,18-Oct-22,17-Oct-23,,NA,LATTI,UDHAMPUR,,Ordinary Service,2011-2012,2011-2012,DIESEL,
14563,UDHAMPUR ARTO,JK14B9859,14-Nov-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Mar-02,04-Mar-20,03-Mar-21,,NA,JAKHANI UDHAMPUR,DHANAL,,Ordinary Service,2011-2012,2001-2002,DIESEL,
14564,UDHAMPUR ARTO,JK14B9895,17-Nov-11,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),19-Nov-11,19-Nov-24,18-Nov-29,JAMMU BANIHAL AREA,NA,,,NA,,2011-2012,2011-2012,DIESEL,
14565,UDHAMPUR ARTO,JK14B9900,17-Nov-11,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Dec-11,02-Dec-16,01-Dec-17,,NA,GHORDI,BARMEEN,VICE VERSA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14566,UDHAMPUR ARTO,JK14B9902,17-Nov-11,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,19-Nov-11,19-Nov-20,18-Nov-23,,NA,Udhampur,Garnai Lota,Sailan Talab,Ordinary Service,2011-2012,2011-2012,DIESEL,
14567,UDHAMPUR ARTO,JK14C0741,20-Jan-12,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Jan-12,21-Jan-15,20-Jan-16,,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14568,UDHAMPUR ARTO,JK14C0856,02-Feb-12,MPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),09-Feb-12,08-Feb-17,07-Feb-18,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14569,UDHAMPUR ARTO,JK14C0865,02-Feb-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),06-Feb-12,05-Feb-22,04-Feb-23,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14570,UDHAMPUR ARTO,JK14C1047,22-Feb-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),24-Feb-12,24-Feb-19,23-Feb-22,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
14571,UDHAMPUR ARTO,JK14C1637,12-Apr-12,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,30-Apr-12,30-Apr-19,29-Apr-20,,NA,UDHAMPUR,KHAIR,,Ordinary Service,2012-2013,2012-2013,DIESEL,
14572,UDHAMPUR ARTO,JK14C1786,21-Jun-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),19-Sep-80,01-Apr-19,31-Mar-21,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2012-2013,1980-1981,DIESEL,
14573,UDHAMPUR ARTO,JK14C1867,04-May-12,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,01-Apr-09,01-Apr-16,31-Mar-17,,NA,,,NA,Ordinary Service,2012-2013,2009-2010,DIESEL,
14574,UDHAMPUR ARTO,JK14C1977,15-May-12,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-May-12,19-May-16,18-May-17,,NA,GUJROO NAGROTA,DHAMA,,Ordinary Service,2012-2013,2012-2013,DIESEL,
14575,UDHAMPUR ARTO,JK14C1986,15-May-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),15-May-12,19-May-19,18-May-20,JAMMU BANIHAL AREA,NA,,,NA,Ordinary Service,2012-2013,2012-2013,DIESEL,
14576,UDHAMPUR ARTO,JK14C2139,31-May-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),07-May-94,01-Apr-21,31-Mar-22,UDHAMPUR DISTRICT ONLY,NA,,,NA,Ordinary Service,2012-2013,1994-1995,DIESEL,
14577,UDHAMPUR ARTO,JK14C2328,15-Jun-12,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,13-Mar-96,01-Apr-23,31-Mar-28,,NA,REHMBAL,SALLIAN TALAB UDHAMPUR,,Ordinary Service,2012-2013,1995-1996,DIESEL,
14578,UDHAMPUR ARTO,JK14C2397,22-Jun-12,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),28-Feb-84,01-Apr-22,31-Mar-23,JAMMU POONCH AREA,NA,,,NA,Ordinary Service,2012-2013,1983-1984,DIESEL,
14579,UDHAMPUR ARTO,JK14C2540,09-Jul-12,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,05-Feb-08,05-Feb-21,04-Feb-22,,NA,TOWN HALL,HARTARYAN,CHAK,Ordinary Service,2012-2013,2007-2008,DIESEL,
14580,UDHAMPUR ARTO,JK14C2782,06-Aug-12,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Aug-12,23-Aug-20,22-Aug-22,,NA,BABEY,MANWAL,,Ordinary Service,2012-2013,2012-2013,DIESEL,
