Name,Category,Importance,Latitude,Longitude,City/Town
Base Camp Hospital,Major Hospital,High,34.2566698,75.4137597,Greater Kashmir Region
Max Superspeciality Hospital,Major Hospital,High,34.071867,74.8048938,Greater Kashmir Region
Haya Unani Hospital,Major Hospital,High,34.0776354,74.7951303,Greater Kashmir Region
Leprosy Hospital,Major Hospital,High,34.1153904,74.8273085,Greater Kashmir Region
New Sub District Hospital,Major Hospital,High,34.045302,74.733019,Greater Kashmir Region
Government Unani Hospital Shalteng,Major Hospital,High,34.1081709,74.7475541,Greater Kashmir Region
T.K. Hospital,Major Hospital,High,34.066592,74.803281,Greater Kashmir Region
Government Health Centre,Major Hospital,High,34.0844806,74.839507,Greater Kashmir Region
Trauma Hospital,Major Hospital,High,34.1172529,74.6992567,Greater Kashmir Region
CMO Hospital,Major Hospital,High,34.0165299,74.7209884,Greater Kashmir Region
Abdullah Hospital,Major Hospital,High,34.051958,74.832327,Greater Kashmir Region
Noora Hospital,Major Hospital,High,34.1122578,74.7255374,Srinagar
Anganwadi Hospital,Major Hospital,High,34.0293596,74.8210826,Greater Kashmir Region
Dr. Farooq's Unani Hospital,Major Hospital,High,34.0743407,74.7876544,Greater Kashmir Region
Safa Marwah Hospital,Major Hospital,High,34.1437352,74.8088327,Greater Kashmir Region
Government Sub District Hospital,Major Hospital,High,33.8637905,74.7714082,Greater Kashmir Region
ASG Eye Hospital,Major Hospital,High,34.0896907,74.7780692,Greater Kashmir Region
Albarq Multi Speciality Hospital,Major Hospital,High,34.0741928,74.7878,Greater Kashmir Region
Dr. Naseer's Unani & Panchkarma Hospital,Major Hospital,High,34.0957666,74.7922262,Greater Kashmir Region
New Government Hospital,Major Hospital,High,34.0343449,74.8077751,Greater Kashmir Region
Star Hospitals,Major Hospital,High,34.0289178,74.8002873,Srinagar
Government Bone & Joint Hospital,Major Hospital,High,34.0520158,74.7973587,Greater Kashmir Region
IBN Sina Hospital,Major Hospital,High,34.0363094,74.7355722,Greater Kashmir Region
Government Hospital,Major Hospital,High,33.7720319,75.142089,Greater Kashmir Region
Maternity Hospital,Major Hospital,High,33.7307053,75.1534493,Greater Kashmir Region
Gousia Nursing Home,Major Hospital,High,33.710016,75.1515304,Greater Kashmir Region
Al Hayat Maternity Laparoscopy Hospital,Major Hospital,High,33.726523,75.1523061,Greater Kashmir Region
Achabal Hospital,Major Hospital,High,33.68598,75.2222538,Greater Kashmir Region
Nijam Memorial Hospital,Major Hospital,High,33.658439,75.0902415,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.5729894,75.222376,Greater Kashmir Region
Government Primary Hospital,Major Hospital,High,33.8264019,74.9917139,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.7933074,75.1024507,Greater Kashmir Region
Dr. Naseer's Unani and Panchkarma Hospital,Major Hospital,High,33.716221,74.828234,Greater Kashmir Region
New Sin District Hospital,Major Hospital,High,33.7973408,75.0958533,Greater Kashmir Region
Sub District Hospital,Major Hospital,High,33.789506,75.2439016,Greater Kashmir Region
