S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12823.0,SRINAGAR RTO,JK01H2561,29-Jun-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,21-Mar-89,07-Dec-20,06-Dec-25,WESTERN AREA OF SRINAGAR CITY,,Qamarwari,Dalgate,Khanyar,Ordinary Service,2004-2005,1988-1989,DIESEL,,
12833.0,SRINAGAR RTO,JK01H6032,28-Oct-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Nov-04,02-Nov-25,01-Nov-30,WITHIN SRINAGAR CITY,,CHANAPORA,SOURA,"RAMBAGH, EXCROSSING, BUND , SRTC, NEW BRIDGE, KHAYA, RAJOURI KADAL",Ordinary Service,2004-2005,2004-2005,DIESEL,,
12845.0,SRINAGAR RTO,JK01H7217,11-Dec-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Dec-04,28-Dec-24,27-Dec-29,EASTERN AREA OF SGR ROTATION BASIS,,SOURA,GANDERBAL,BUCHPORA,,2004-2005,2004-2005,DIESEL,,
12859.0,SRINAGAR RTO,JK01H9327,02-May-05,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Apr-92,17-Apr-25,16-Apr-30,EASTERN AREA OF SGR ROTATION BASIS,,"Hazratbal, Lalbazar",Parimpora,Rajiakadal,Town/City Service,2005-2006,1992-1993,DIESEL,,
12872.0,SRINAGAR RTO,JK01J2940,19-Aug-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,31-Oct-00,06-Jan-23,05-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,SafaKadal ,Jehangir Chowk,Karanangar,Ordinary Service,2005-2006,2000-2001,DIESEL,,
12873.0,SRINAGAR RTO,JK01J3159,30-Aug-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-May-05,02-May-20,01-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Ordinary Service,2005-2006,2005-2006,DIESEL,,
12876.0,SRINAGAR RTO,JK01J5532,07-Dec-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Apr-05,29-Apr-25,28-Apr-30,WITHIN SRINAGAR CITY,,Narbal,Jehangir Chowk,Qamarwari,,2005-2006,2005-2006,DIESEL,,
12887.0,SRINAGAR RTO,JK01J7136,20-Mar-06,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,14-Jun-00,13-Jun-22,12-Jun-27,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,Bemina,Batamallo,Ordinary Service,2005-2006,2000-2001,DIESEL,,
12890.0,SRINAGAR RTO,JK01J7271,25-Mar-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,09-Sep-99,09-Sep-23,08-Sep-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Pampore,Dalgate,,2005-2006,1999-2000,DIESEL,,
12896.0,SRINAGAR RTO,JK01J7707,18-Apr-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,20-Apr-83,01-Apr-20,31-Mar-25,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2006-2007,1983-1984,DIESEL,,
