Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,LALBAZAR,34.1255664,74.817375,LD,34.0668052,74.8080919,DALGATE,"34.0816285,74.8268875",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,JAWAHIRNAGAR,34.0606593,74.8117017,LD,"34.0668052,74.8080919",MPV,
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,JAWAHIRNAGAR,34.0606593,74.8117017,LD,"34.0668052,74.8080919",MPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,
,BATAMALLO,34.0692325,74.7917031,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,JAWAHIRNAGAR,34.0606593,74.8117017,LD,"34.0668052,74.8080919",LPV,
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,DALGATE,"34.0816285,74.8268875",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,BATAMALLO,34.0692325,74.7917031,PANTHACHOWK,34.0285811,74.9057898,TENGPORA,"34.059855,74.7874308",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Express Service
,QAMARWARI,34.0948927,74.766525,DALGATE,34.0816285,74.8268875,KHANYAR,"34.093309,74.8145107",MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,LALCHOWK,34.0712565,74.8104927,LD,"34.0668052,74.8080919",MPV,Express Service
,SOURA,34.1378333,74.8021097,PARIMPORA,34.0814091,74.7131047,SAKIDAFAR,,MPV,Express Service
,PARIMPORA,34.0814091,74.7131047,PANTHACHOWK,34.0285811,74.9057898,BATWARA,"34.0583908,74.8519874",MPV,Ordinary Service
,HAZRATBAL,34.1272157,74.8356734,LD,34.0668052,74.8080919,RAINAWARA,"34.0960689,74.8255204",MPV,Ordinary Service
,CHANAPORA,34.0339814,74.8080524,SOURA,34.1378333,74.8021097,RAMBAGH EXCROSSING BUND  SRTC NEW BRIDGE KHAYA RAJOURI KADAL,,MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,HUMHAMA,34.0209839,74.7711454,JEHANGIR CHOWK,,MPV,
