S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier,From_Lat,From_Lon,To_Lat,To_Lon,Via_Lat,Via_Lon
12408.0,SRINAGAR RTO,JK01AR1515,06-Jul-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12411.0,SRINAGAR RTO,JK01AV0415,30-Oct-23,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Jul-24,31-Jul-24,30-Jul-29,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Sakidafar,,2023-2024,2024-2025,DIESEL,,,34.051725,75.060425,34.054756,74.557175,33.677888782126,74.86179149857
12412.0,SRINAGAR RTO,JK01AV0605,01-Nov-23,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Jan-24,25-Jan-24,24-Jan-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,,2023-2024,2023-2024,DIESEL,,,34.051725,75.060425,34.12896,74.84248,34.1515959,74.8081024
12413.0,SRINAGAR RTO,JK01AV4095,22-Nov-23,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Jun-24,20-Jun-24,19-Jun-29,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Nowhata,,2023-2024,2024-2025,DIESEL,,,34.051725,75.060425,33.677888782126,74.86179149857,34.0948887,74.8083881
12427.0,SRINAGAR RTO,JK01AW1818,19-Apr-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12428.0,SRINAGAR RTO,JK01AW1919,23-Apr-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12432.0,SRINAGAR RTO,JK01AW5015,27-May-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Oct-24,10-Oct-24,09-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Budgam,Khumani Chowk,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,33.934407,74.640117,34.054616,74.746436
12433.0,SRINAGAR RTO,JK01AW6453,20-Jun-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-Oct-24,09-Oct-24,08-Oct-29,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Saidakadal,Dalgate,,2024-2025,2024-2025,DIESEL,,,34.054756,74.557175,33.677888782126,74.86179149857,34.080680144325,74.828427951151
12435.0,SRINAGAR RTO,JK01AW8722,03-Jul-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Oct-24,10-Oct-24,09-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12438.0,SRINAGAR RTO,JK01AW9836,04-Jul-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,15-Oct-24,15-Oct-24,14-Oct-29,WESTERN AREA OF SRINAGAR CITY,,Sora,Parimpora,Qamarwari,,2024-2025,2024-2025,DIESEL,,,34.1445631,74.8023258,34.054756,74.557175,33.613668,74.191898
12441.0,SRINAGAR RTO,JK01AX5915,13-Sep-24,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Nov-24,20-Nov-24,19-Nov-29,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,HMT,Parimpora,,2024-2025,2024-2025,DIESEL,,,34.053990471567,74.804345615448,34.104262879189,74.741446961221,34.054756,74.557175
12455.0,SRINAGAR RTO,JK01BA4826,25-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,05-Nov-25,05-Nov-25,04-Nov-30,WITHIN SRINAGAR CITY,,Parimpora,Pantha chowk,Dalgate,,2024-2025,2025-2026,DIESEL,,,34.054756,74.557175,33.143253,75.714288,34.080680144325,74.828427951151
12456.0,SRINAGAR RTO,JK01BA5230,03-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Oct-25,25-Oct-25,24-Oct-30,WESTERN AREA OF SRINAGAR CITY,,Soura,LD,Buchpora,Ordinary Service,2024-2025,2025-2026,DIESEL,,,34.051725,75.060425,33.677888782126,74.86179149857,34.1515959,74.8081024
12457.0,SRINAGAR RTO,JK01BA5664,08-Mar-25,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-Nov-25,11-Nov-25,10-Nov-30,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Jehangir Chowk,Ordinary Service,2024-2025,2025-2026,DIESEL,,,34.054756,74.557175,33.9455847,74.7992358,34.053990471567,74.804345615448
12458.0,SRINAGAR RTO,JK01BA5764,11-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,16-Sep-25,16-Sep-25,15-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,Dalgate,Ordinary Service,2024-2025,2025-2026,DIESEL,,,34.051725,75.060425,33.677888782126,74.86179149857,34.080680144325,74.828427951151
12459.0,SRINAGAR RTO,JK01BA5819,12-Mar-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,13-Nov-25,13-Nov-25,12-Nov-30,WITHIN SRINAGAR CITY,,Soura,Railway Station,Sonawar,,2024-2025,2025-2026,DIESEL,,,34.051725,75.060425,33.676521081309,75.136529455133,34.07315,74.84177
12460.0,SRINAGAR RTO,JK01BA6663,13-Jan-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,25-Oct-25,25-Oct-25,24-Oct-30,EASTERN AREA OF SGR ROTATION BASIS,,Soura,Hazratbal,Buchpora,,2024-2025,2025-2026,DIESEL,,,34.051725,75.060425,34.12896,74.84248,34.1515959,74.8081024
12461.0,SRINAGAR RTO,JK01BA8717,03-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,26-Sep-25,26-Sep-25,25-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Sora,LD,Dalgate,Ordinary Service,2024-2025,2025-2026,DIESEL,,,34.1445631,74.8023258,33.677888782126,74.86179149857,34.080680144325,74.828427951151
12462.0,SRINAGAR RTO,JK01BA9093,17-Feb-25,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,16-Sep-25,16-Sep-25,15-Sep-30,EASTERN AREA OF SGR ROTATION BASIS,,Baghat Shora,Lalchowk,Nowhata,,2024-2025,2025-2026,DIESEL,,,34.27909,74.43987,33.7294491,75.1496718,34.0948887,74.8083881
12464.0,SRINAGAR RTO,JK01BA9644,22-Apr-25,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Nov-25,10-Nov-25,09-Nov-30,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,JVC,Bemina,Ordinary Service,2025-2026,2025-2026,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12648.0,SRINAGAR RTO,JK01E7523,21-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-May-85,16-May-21,15-May-26,EASTERN AREA OF SGR ROTATION BASIS,,Soura,LD,90feet,Ordinary Service,2001-2002,1985-1986,DIESEL,,,34.051725,75.060425,33.677888782126,74.86179149857,33.677888782126,74.86179149857
12656.0,SRINAGAR RTO,JK01E8692,15-Jun-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-Aug-01,11-Aug-23,10-Aug-28,WESTERN AREA OF SRINAGAR CITY,,Soura,Parimpora,Hawal,Express Service,2001-2002,2001-2002,DIESEL,,,34.051725,75.060425,34.054756,74.557175,33.799566,74.86577
12671.0,SRINAGAR RTO,JK01F0135,25-Aug-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-May-85,09-May-20,08-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Qamarwari,PathaChowk,Dalgate,Ordinary Service,2001-2002,1985-1986,DIESEL,,,33.613668,74.191898,33.677888782126,74.86179149857,34.080680144325,74.828427951151
12680.0,SRINAGAR RTO,JK01F1693,07-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Mar-02,23-Mar-21,22-Mar-26,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawari,,2001-2002,2001-2002,DIESEL,,,34.12896,74.84248,33.677888782126,74.86179149857,34.1158251,74.8591392
12692.0,SRINAGAR RTO,JK01F2397,27-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Jan-02,05-Jan-23,04-Jan-28,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Parimpora,Qamarwari,,2001-2002,2001-2002,DIESEL,,,34.125162,74.8223663,34.054756,74.557175,33.613668,74.191898
12694.0,SRINAGAR RTO,JK01F2433,01-Jan-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Jan-02,07-Jan-24,06-Jan-29,OUTSKIRTS OF SRINAGAR CITY,,Parimpora ,Rawalpora,Jehangir Chowk,,2001-2002,2001-2002,DIESEL,,,34.054756,74.557175,34.0160729,74.7844998,34.053990471567,74.804345615448
12700.0,SRINAGAR RTO,JK01F3087,21-Feb-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-May-89,22-May-20,21-May-25,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Chadora,Jehangir Chowk,Ordinary Service,2001-2002,1989-1990,DIESEL,,,34.054756,74.557175,33.9455847,74.7992358,34.053990471567,74.804345615448
12704.0,SRINAGAR RTO,JK01F3101,26-Feb-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-May-89,09-May-23,08-May-28,WESTERN AREA OF SGR ROTATION BASIS,,Soura,Jehangir Chowk,Zonimar,Ordinary Service,2001-2002,1989-1990,DIESEL,,,34.051725,75.060425,34.053990471567,74.804345615448,33.677888782126,74.86179149857
12707.0,SRINAGAR RTO,JK01F3462,13-Mar-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-Mar-02,16-Mar-23,15-Mar-28,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Parimpora,Qamarwari,Ordinary Service,2001-2002,2001-2002,DIESEL,,,34.125162,74.8223663,34.054756,74.557175,33.613668,74.191898
12713.0,SRINAGAR RTO,JK01F3899,03-Apr-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Apr-02,09-Apr-24,08-Apr-29,WESTERN AREA OF SGR ROTATION BASIS,,HMT,Jehangir Chowk,Batamallo,,2002-2003,2002-2003,DIESEL,,,34.104262879189,74.741446961221,34.053990471567,74.804345615448,34.07021,74.79256
12718.0,SRINAGAR RTO,JK01F4749,02-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Apr-02,16-Apr-24,15-Apr-29,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,,2002-2003,2002-2003,DIESEL,,,34.09167,74.78611,34.053990471567,74.804345615448,34.085561686624,74.799344003664
12722.0,SRINAGAR RTO,JK01F4944,08-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Jul-02,07-Jul-23,06-Jul-28,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,Express Service,2002-2003,2002-2003,DIESEL,,,34.09167,74.78611,34.053990471567,74.804345615448,34.085561686624,74.799344003664
12725.0,SRINAGAR RTO,JK01F5224,20-May-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,31-Mar-02,31-Mar-25,30-Mar-30,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,Jehangir Chowk,SMHS,,2002-2003,2001-2002,DIESEL,,,34.09167,74.78611,34.053990471567,74.804345615448,34.085561686624,74.799344003664
12731.0,SRINAGAR RTO,JK01F5489,06-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,21-Jun-02,21-Jun-20,20-Jun-25,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,JVC,Bemina,Express Service,2002-2003,2002-2003,DIESEL,,,34.053990471567,74.804345615448,33.677888782126,74.86179149857,34.0955383,74.7740345
12733.0,SRINAGAR RTO,JK01F5505,07-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,10-Jul-02,10-Jul-21,09-Jul-25,OUTSKIRTS OF SRINAGAR CITY,,Parimpora,Rangrath,Bypass,Express Service,2002-2003,2002-2003,DIESEL,,,34.054756,74.557175,34.00603,74.79664,34.275347854362,74.794182258765
12734.0,SRINAGAR RTO,JK01F5665,11-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,04-Jan-96,23-Feb-22,22-Feb-27,WESTERN AREA OF SGR ROTATION BASIS,,Batamallo,Pantha chowk,Mominabad Tengpora,,2002-2003,1995-1996,DIESEL,,,34.07021,74.79256,33.143253,75.714288,34.2288466,74.7799492
12738.0,SRINAGAR RTO,JK01F5918,20-Jun-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,15-Feb-87,15-Feb-23,14-Feb-28,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,Budgam,Khumani Chowk,,2002-2003,1986-1987,DIESEL,,,34.053990471567,74.804345615448,33.934407,74.640117,34.054616,74.746436
12741.0,SRINAGAR RTO,JK01F6178,29-Jun-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,11-Nov-97,10-Nov-20,09-Nov-25,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2002-2003,1997-1998,DIESEL,,,34.054756,74.557175,34.03975,74.8878,34.080680144325,74.828427951151
12743.0,SRINAGAR RTO,JK01F6304,03-Jul-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,20-Jul-02,25-Jul-25,24-Jul-30,WESTERN AREA OF SGR ROTATION BASIS,,Soura,Jehangir Chowk,Zonimar,,2002-2003,2002-2003,DIESEL,,,34.051725,75.060425,34.053990471567,74.804345615448,33.677888782126,74.86179149857
12747.0,SRINAGAR RTO,JK01F7436,07-Aug-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,03-Jul-89,16-Sep-23,15-Sep-28,WESTERN AREA OF SRINAGAR CITY,,Narbal,Jehangir Chowk,Qamarwari,,2002-2003,1989-1990,DIESEL,,,34.096141,74.655846,34.053990471567,74.804345615448,33.613668,74.191898
12761.0,SRINAGAR RTO,JK01F8997,19-Oct-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,25-Oct-02,25-Oct-22,24-Oct-27,,,QAMARWARI,DALGATE,BATMALOO,Ordinary Service,2002-2003,2002-2003,DIESEL,,,33.613668,74.191898,34.080680144325,74.828427951151,34.0745387,74.7877306
12762.0,SRINAGAR RTO,JK01F9402,06-Nov-02,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Dec-96,01-Dec-22,30-Nov-27,EASTERN AREA OF SGR ROTATION BASIS,,Batamallo,Panthachowk,Tengpora,Ordinary Service,2002-2003,1996-1997,DIESEL,,,34.07021,74.79256,34.03975,74.8878,34.2288466,74.7799492
12768.0,SRINAGAR RTO,JK01G0206,11-Mar-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-May-04,24-May-23,23-May-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Panthachowk,Dalgate,Ordinary Service,2002-2003,2004-2005,DIESEL,,,33.677888782126,74.86179149857,34.03975,74.8878,34.080680144325,74.828427951151
12783.0,SRINAGAR RTO,JK01G4803,05-Aug-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Apr-92,16-Apr-25,15-Apr-30,WESTERN AREA OF SGR ROTATION BASIS,,Parimpora,Chadora,Jehangir Chowk,,2003-2004,1992-1993,DIESEL,,,34.054756,74.557175,33.9455847,74.7992358,34.053990471567,74.804345615448
12786.0,SRINAGAR RTO,JK01G5150,18-Aug-03,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,18-Nov-96,18-Nov-25,17-Nov-30,EASTERN AREA OF SGR ROTATION BASIS,,Panthachowk,LD,Dalgate,Ordinary Service,2003-2004,1996-1997,DIESEL,,,34.03975,74.8878,33.677888782126,74.86179149857,34.080680144325,74.828427951151
12794.0,SRINAGAR RTO,JK01G7406,12-Nov-03,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,16-Mar-92,16-Mar-23,15-Mar-28,WESTERN AREA OF SRINAGAR CITY,,QAMARWARI,BAGHI MEHTAB,"EXB CROSSING,",Ordinary Service,2003-2004,1991-1992,DIESEL,,,33.613668,74.191898,34.040703,74.932721,33.677888782126,74.86179149857
12813.0,SRINAGAR RTO,JK01H0113,06-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-Oct-73,01-Apr-23,31-Mar-28,WESTERN AREA OF SRINAGAR CITY,,Parimpora,Jawahirnagar,LD,,2004-2005,1973-1974,DIESEL,,,34.054756,74.557175,32.7491651,74.8678024,33.677888782126,74.86179149857
12815.0,SRINAGAR RTO,JK01H0211,10-May-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Mar-99,16-Mar-21,15-Mar-26,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Express Service,2004-2005,1998-1999,DIESEL,,,34.12896,74.84248,33.677888782126,74.86179149857,34.1158251,74.8591392
12822.0,SRINAGAR RTO,JK01H2560,29-Jun-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,23-May-89,23-May-25,22-May-30,WESTERN AREA OF SRINAGAR CITY,,Jehangir Chowk,HMT,Parimpora,,2004-2005,1989-1990,DIESEL,,,34.053990471567,74.804345615448,34.104262879189,74.741446961221,34.054756,74.557175
12823.0,SRINAGAR RTO,JK01H2561,29-Jun-04,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,21-Mar-89,07-Dec-20,06-Dec-25,WESTERN AREA OF SRINAGAR CITY,,Qamarwari,Dalgate,Khanyar,Ordinary Service,2004-2005,1988-1989,DIESEL,,,33.613668,74.191898,34.080680144325,74.828427951151,34.19136,74.52753
12833.0,SRINAGAR RTO,JK01H6032,28-Oct-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Nov-04,02-Nov-25,01-Nov-30,WITHIN SRINAGAR CITY,,CHANAPORA,SOURA,"RAMBAGH, EXCROSSING, BUND , SRTC, NEW BRIDGE, KHAYA, RAJOURI KADAL",Ordinary Service,2004-2005,2004-2005,DIESEL,,,34.0355966,74.8184841,34.051725,75.060425,32.68056,74.84444
12845.0,SRINAGAR RTO,JK01H7217,11-Dec-04,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Dec-04,28-Dec-24,27-Dec-29,EASTERN AREA OF SGR ROTATION BASIS,,SOURA,GANDERBAL,BUCHPORA,,2004-2005,2004-2005,DIESEL,,,34.051725,75.060425,34.217201,74.779999,34.1515959,74.8081024
12859.0,SRINAGAR RTO,JK01H9327,02-May-05,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,17-Apr-92,17-Apr-25,16-Apr-30,EASTERN AREA OF SGR ROTATION BASIS,,"Hazratbal, Lalbazar",Parimpora,Rajiakadal,Town/City Service,2005-2006,1992-1993,DIESEL,,,34.1236123,74.8367629,34.054756,74.557175,33.00632,75.59117
12872.0,SRINAGAR RTO,JK01J2940,19-Aug-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,31-Oct-00,06-Jan-23,05-Jan-28,EASTERN AREA OF SGR ROTATION BASIS,,SafaKadal ,Jehangir Chowk,Karanangar,Ordinary Service,2005-2006,2000-2001,DIESEL,,,34.09167,74.78611,34.053990471567,74.804345615448,34.080334,74.7945933
12873.0,SRINAGAR RTO,JK01J3159,30-Aug-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-May-05,02-May-20,01-May-25,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawara,Ordinary Service,2005-2006,2005-2006,DIESEL,,,34.12896,74.84248,33.677888782126,74.86179149857,34.1158251,74.8591392
12876.0,SRINAGAR RTO,JK01J5532,07-Dec-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Apr-05,29-Apr-25,28-Apr-30,WITHIN SRINAGAR CITY,,Narbal,Jehangir Chowk,Qamarwari,,2005-2006,2005-2006,DIESEL,,,34.096141,74.655846,34.053990471567,74.804345615448,33.613668,74.191898
12887.0,SRINAGAR RTO,JK01J7136,20-Mar-06,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,14-Jun-00,13-Jun-22,12-Jun-27,EASTERN AREA OF SGR ROTATION BASIS,,Jehangir Chowk,Bemina,Batamallo,Ordinary Service,2005-2006,2000-2001,DIESEL,,,34.053990471567,74.804345615448,34.0955383,74.7740345,34.07021,74.79256
12890.0,SRINAGAR RTO,JK01J7271,25-Mar-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,09-Sep-99,09-Sep-23,08-Sep-28,EASTERN AREA OF SGR ROTATION BASIS,,LD,Pampore,Dalgate,,2005-2006,1999-2000,DIESEL,,,33.677888782126,74.86179149857,34.0344075,75.0380695,34.080680144325,74.828427951151
12896.0,SRINAGAR RTO,JK01J7707,18-Apr-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,20-Apr-83,01-Apr-20,31-Mar-25,EASTERN AREA OF SGR ROTATION BASIS,,Parimpora,Panthachowk,Dalgate,,2006-2007,1983-1984,DIESEL,,,34.054756,74.557175,34.03975,74.8878,34.080680144325,74.828427951151
