row,from,to,vehicle,reason
12836,,,HPV,blank_origin_and_destination
12837,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12839,,,HPV,blank_origin_and_destination
12841,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12842,,,HPV,blank_origin_and_destination
12843,,,HPV,blank_origin_and_destination
12845,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12846,Jehangir Chowk,HMT,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12847,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12848,,,HPV,blank_origin_and_destination
12849,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12853,,,HPV,blank_origin_and_destination
12854,,,HPV,blank_origin_and_destination
12855,,,HPV,blank_origin_and_destination
12856,,,HPV,blank_origin_and_destination
12857,,,HPV,blank_origin_and_destination
12858,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12861,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12863,,,HPV,blank_origin_and_destination
12864,,,HPV,blank_origin_and_destination
12866,,,HPV,blank_origin_and_destination
12867,,,HPV,blank_origin_and_destination
12868,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12869,Jehangir Chowk,Budgam,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12871,SafaKadal ,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12873,,,HPV,blank_origin_and_destination
12874,HMT,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12875,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
12880,,,HPV,blank_origin_and_destination
12881,Jehangir Chowk,JVC,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12882,,,HPV,blank_origin_and_destination
12883,,,HPV,blank_origin_and_destination
12884,,,HPV,blank_origin_and_destination
12885,,,HPV,blank_origin_and_destination
12886,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12888,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
12891,,,MPV,blank_origin_and_destination
12894,Jehangir Chowk,Bemina,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
12900,,,HPV,blank_origin_and_destination
12902,,,MPV,blank_origin_and_destination
12904,,,MPV,blank_origin_and_destination
12905,,,MPV,blank_origin_and_destination
12908,Jehangir Chowk,Bemina,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12910,,,LPV,blank_origin_and_destination
12912,Soura,Jehangir Chowk,LPV,ungeocoded: destination 'JEHANGIR CHOWK'
12913,Jehangir Chowk,HMT,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
12915,,,LPV,blank_origin_and_destination
